# omega0=1, alpha=0.05
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=200, h=0.00911928
#   t          theta(t)                 thetadot(t)       
1.008592590673813e+02 5.512474424496602e-02 2.957148915340250e-02
1.009504518875146e+02 5.758300099218797e-02 2.430858671426911e-02
1.010416447076479e+02 5.955289128417317e-02 1.886840563804257e-02
1.011328375277812e+02 6.102033145416844e-02 1.329680292411343e-02
1.012240303479145e+02 6.197546206986054e-02 7.640501299885302e-03
1.013152231680478e+02 6.241270924132232e-02 1.946701862950418e-03
1.014064159881811e+02 6.233081051771941e-02 -3.737304699764249e-03
1.014976088083144e+02 6.173280537478340e-02 -9.364525434897988e-03
1.015888016284477e+02 6.062599055535778e-02 -1.488864815910720e-02
1.016799944485810e+02 5.902184078104599e-02 -2.026441742831294e-02
1.017711872687143e+02 5.693589560458195e-02 -2.544800070205046e-02
1.018623800888476e+02 5.438761342034913e-02 -3.039734200569529e-02
1.019535729089809e+02 5.140019389456518e-02 -3.507250043513075e-02
1.020447657291142e+02 4.800037031666914e-02 -3.943597089688523e-02
1.021359585492475e+02 4.421817360850853e-02 -4.345298453821708e-02
1.022271513693808e+02 4.008666995653103e-02 -4.709178640277415e-02
1.023183441895141e+02 3.564167425224604e-02 -5.032388795482394e-02
1.024095370096474e+02 3.092144173507216e-02 -5.312429225437734e-02
1.025007298297807e+02 2.596634042620034e-02 -5.547168974123952e-02
1.025919226499140e+02 2.081850711882506e-02 -5.734862280077936e-02
1.026831154700473e+02 1.552148984542291e-02 -5.874161753860190e-02
1.027743082901806e+02 1.011987987313300e-02 -5.964128148367866e-02
1.028655011103139e+02 4.658936380415656e-03 -6.004236626592897e-02
1.029566939304472e+02 -8.157929608137300e-04 -5.994379466874899e-02
1.030478867505805e+02 -6.258852235676592e-03 -5.934865183177378e-02
1.031390795707138e+02 -1.162525510460755e-02 -5.826414076511308e-02
1.032302723908471e+02 -1.687085695696216e-02 -5.670150272350605e-02
1.033214652109804e+02 -2.195271823487346e-02 -5.467590336717763e-02
1.034126580311137e+02 -2.682945586337003e-02 -5.220628599593088e-02
1.035038508512470e+02 -3.146157985548638e-02 -4.931519347543944e-02
1.035950436713803e+02 -3.581181232260075e-02 -4.602856077253784e-02
1.036862364915136e+02 -3.984538630710908e-02 -4.237548027413149e-02
1.037774293116469e+02 -4.353032206297058e-02 -3.838794227883917e-02
1.038686221317802e+02 -4.683767863561972e-02 -3.410055322050843e-02
1.039598149519135e+02 -4.974177883220729e-02 -2.955023430929835e-02
1.040510077720468e+02 -5.222040592226239e-02 -2.477590336200606e-02
1.041422005921801e+02 -5.425497066415356e-02 -1.981814264319985e-02
1.042333934123134e+02 -5.583064751112624e-02 -1.471885555812287e-02
1.043245862324467e+02 -5.693647910970907e-02 -9.520915033500069e-03
1.044157790525800e+02 -5.756544846099328e-02 -4.267806399683632e-03
1.045069718727133e+02 -5.771451837034752e-02 9.967324470158633e-04
1.045981646928466e+02 -5.738463806268975e-02 6.229070864313564e-03
1.046893575129799e+02 -5.658071708807383e-02 1.138604257295182e-02
1.047805503331132e+02 -5.531156688592029e-02 1.642529740604895e-02
1.048717431532465e+02 -5.358981061574102e-02 2.130564509437944e-02
1.049629359733798e+02 -5.143176209768313e-02 2.598738852788010e-02
1.050541287935131e+02 -4.885727493751175e-02 3.043264398118120e-02
1.051453216136464e+02 -4.588956313735289e-02 3.460564584486315e-02
1.052365144337797e+02 -4.255499471484286e-02 3.847303346896171e-02
1.053277072539130e+02 -3.888286006805687e-02 4.200411780601790e-02
